;cpuFamily;cpuModel;ramSize;ramType;gpuModel;hdd1Type;hdd1Size;hdd2Type;hdd2Size;price;vfm;mark;TDP
148;Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;798,99;9,575839497365424;7651;15
149;Core i7;8565U;16 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;799,0;11,143929912390488;8904;15
150;Core i5;9300H;8 GB;DDR4;GeForce GTX 1650;SSD;128 GB;HDD;1000 GB;799,0;12,212765957446809;9758;45
151;Core i5;8265U;8 GB;DDR4;GeForce MX250;SSD;512 GB;-;-;799,0;9,984981226533167;7978;15
152;Core i7;8565U;8 GB;DDR4;GeForce MX110;SSD;512 GB;-;-;799,0;11,143929912390488;8904;15
153;Core i7;8550U;8 GB;DDR4;Radeon 540;SSD;128 GB;HDD;1000 GB;799,0;10,320400500625782;8246;15
154;Core i7;8550U;8 GB;DDR4;GeForce MX150;SSD;128 GB;HDD;1000 GB;799,0;10,320400500625782;8246;15
155;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;799,0;9,984981226533167;7978;15
156;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;799,0;9,984981226533167;7978;15
157;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;799,0;9,984981226533167;7978;15
158;Core i5;8300H;8 GB;DDR4;GeForce GTX 1050;SSD;256 GB;-;-;799,0;11,846057571964955;9465;45
159;Core i5;8250U;8 GB;DDR4;GeForce GTX 1050;SSD;128 GB;HDD;1000 GB;799,0;9,575719649561952;7651;15
160;Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;799,0;11,143929912390488;8904;15
161;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;799,0;9,984981226533167;7978;15
164;Core i7;8565U;8 GB;DDR4;GeForce MX130;SSD;128 GB;HDD;1000 GB;799,99;11,130139126739085;8904;15
165;Core i7;8565U;8 GB;DDR4;GeForce MX230;SSD;512 GB;-;-;802,37;11,09712476787517;8904;15
166;Core i5;8265U;8 GB;DDR4;GeForce MX250;SSD;512 GB;-;-;802,37;9,943043732941161;7978;15
167;Core i7;1065G7;8 GB;DDR4;GeForce MX230;SSD;256 GB;-;-;804,95;13,371016833343685;10763;15
168;Core i5;8300H;8 GB;DDR4;GeForce GTX 1050Ti;SSD;256 GB;-;-;809,0;11,699629171817058;9465;45
169;Core i5;8300H;8 GB;DDR4;GeForce GTX 1050 Ti;SSD;128 GB;HDD;1000 GB;809,0;11,699629171817058;9465;45
170;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;809,0;9,861557478368356;7978;15
171;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;809,0;9,861557478368356;7978;15
172;Core i7;8550U;8 GB;DDR4;GeForce MX150;SSD;256 GB;-;-;815,0;10,117791411042944;8246;15
173;Core i5;8300H;8 GB;DDR4;GeForce GTX 1050;SSD;256 GB;-;-;815,99;11,59940685547617;9465;45
174;Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;817,0;9,364749082007345;7651;15
175;Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;818,0;10,885085574572127;8904;15
176;Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;819,0;9,341880341880342;7651;15
177;Core i5;9300H;8 GB;DDR4;GeForce GTX 1650;SSD;128 GB;HDD;1000 GB;819,0;11,914529914529915;9758;45
178;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;819,9;9,73045493352848;7978;15
179;Core i5;8300H;8 GB;DDR4;GeForce GTX 1050;SSD;256 GB;-;-;819,99;11,542823692971865;9465;45
180;Core i7;8565U;8 GB;DDR4;GeForce MX130;SSD;256 GB;-;-;821,0;10,84531059683313;8904;15
183;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;826,77;9,649600251581456;7978;15
184;Core i7;8565U;8 GB;DDR4;GeForce MX130;SSD;256 GB;-;-;828,0;10,753623188405797;8904;15
186;Core i5;8265U;12 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;829,0;9,623642943305187;7978;15
187;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;829,99;9,612164001975927;7978;15
188;Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;836,09;10,6495712184095;8904;15
189;Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;837,99;9,130180551080562;7651;15
190;Core i7;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;HDD;1000 GB;839,0;9,508939213349226;7978;15
191;Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;839,0;10,612634088200238;8904;15
192;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;839,0;9,508939213349226;7978;15
193;Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;839,0;9,119189511323004;7651;15
194;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;128 GB;-;-;840,0;9,497619047619047;7978;15
195;Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;843,57;9,069786739689652;7651;15
196;Core i5;1035G1;8 GB;DDR4;GeForce MX230;SSD;256 GB;-;-;845,0;10,640236686390532;8991;15
197;Core i7;7500U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;845,0;6,063905325443787;5124;15
198;Core i5;8265U;8 GB;DDR4;GeForce MX130;SSD;256 GB;-;-;846,75;9,421907292589312;7978;15
199;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;849,0;9,396937573616018;7978;15
200;Core i7;9750H;8 GB;DDR4;GeForce GTX 1050;SSD;256 GB;-;-;849,0;15,876325088339222;13479;45
201;Core i7;9750H;8 GB;DDR4;GeForce GTX 1050;SSD;512 GB;-;-;849,0;15,876325088339222;13479;45
202;Core i7;8550U;8 GB;DDR4;GeForce 940MX;SSD;128 GB;HDD;1000 GB;849,0;9,712603062426384;8246;15
203;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;849,0;9,396937573616018;7978;15
204;Core i7;8550U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;849,0;9,712603062426384;8246;15
205;Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;849,0;10,487632508833922;8904;15
206;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;849,0;9,396937573616018;7978;15
207;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;849,0;9,396937573616018;7978;15
208;Core i7;8550U;12 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;849,0;9,712603062426384;8246;15
