CPU Name,Price(USD),CPU Mark,CPU Value,Thread Mark,Thread Value,TDP (W),Power Perf.,Socket,Category
AMD A8-6500 APU,94.99,4393,46.26,1440,15.17,65,67,FM2,Desktop
AMD A8-6500B APU,0,4612,0,1481,0,65,70,FM2,Desktop
AMD A8-6500T APU,0,3276,0,1067,0,45,72,FM2,Desktop
AMD A8-6600K APU,96.99,4591,47.34,1461,15.06,100,45,FM2,Desktop
AMD A8-7050,0,1824,0,955,0,15,121,NA,Laptop
AMD A8-7100 APU,0,2805,0,959,0,19,147,FP3,Laptop
AMD A8-7200P,0,3338,0,1003,0,35,95,FP3,Laptop
AMD A8-7410 APU,0,2748,0,923,0,25,109,NA,Laptop
AMD A8-7600 APU,146.94,5063,34.46,1543,10.5,65,77,FM2+,Desktop
AMD A8-7650K,114.9,4929,42.87,1468,12.77,65,75,FM2+,Desktop
AMD A8-7670K,161.1,5083,31.56,1538,9.55,95,53,FM2+,Desktop
AMD A8-7680,59.99,5322,88.73,1700,28.34,45,118,FM2+,Laptop
AMD A8-8600P,0,3248,0,1132,0,15,216,FP4,Laptop
AMD A8-8650,0,5465,0,1612,0,65,84,FM2+,Desktop
AMD A8-9600,70.4,4968,70.51,1573,22.33,65,76,AM4,Desktop
AMD A9-9400,0,2306,0,1346,0,10,230,FP4,Laptop
AMD A9-9410,0,2542,0,1519,0,25,101,FP4,Laptop
AMD A9-9420,0,2340,0,1413,0,15,156,NA,Laptop
AMD A9-9420e,0,1820,0,1059,0,0,0,NA,Laptop
AMD A9-9425,0,2505,0,1496,0,15,167,BGA (FT4),Laptop
AMD A9-9430,0,2524,0,1507,0,0,0,NA,Desktop
AMD Athlon 1500+,0,294,0,422,0,0,0,NA,Unknown
AMD Athlon 1640B,50.0,670,13.42,776,15.53,45,14,AM2,Desktop
AMD Athlon 2000+,0,390,0,0,0,0,0,NA,Unknown
AMD Athlon 200GE,66.5,4951,74.39,1636,24.59,35,141,AM4,Desktop
AMD Athlon 2100+,0,412,0,0,0,0,0,NA,Unknown
AMD Athlon 2200+,79.99,363,4.55,0,0,0,0,NA,Unknown
AMD Athlon 220GE,69.8,5237,75.0,1756,25.16,35,149,AM4,Laptop
AMD Athlon 2400+,0,462,0,0,0,0,0,NA,Unknown
AMD Athlon 240GE,62.6,5478,87.39,1842,29.39,35,156,AM4,Desktop
AMD Athlon 2500+,183.99,374,2.04,0,0,0,0,NA,Unknown
AMD Athlon 2600+,104.95,444,4.23,0,0,0,0,NA,Unknown
AMD Athlon 2650e,19.0,407,21.47,459,24.21,0,0,NA,Unknown
AMD Athlon 2800+,139.95,447,3.2,674,4.82,89,5,754,Unknown
AMD Athlon 2850e,0,506,0,493,0,22,23,AM2,Desktop
AMD Athlon 300U,0,4711,0,1581,0,15,314,FP5,Laptop
AMD Athlon 3100+,0,485,0,0,0,0,0,NA,Unknown
AMD Athlon 3200+,60.0,458,7.63,0,0,62,7,AM2,Unknown
AMD Athlon 4,69.9,279,4.0,0,0,0,0,NA,Unknown
AMD Athlon 5000 Dual-Core,119.9,1292,10.78,746,6.22,65,19,"AM2,AM2+",Desktop
AMD Athlon 5150 APU,159.9,2105,13.16,633,3.96,25,84,"AM1,FS1b",Desktop
AMD Athlon 5200 Dual-Core,29.99,1266,42.23,756,25.21,75,16,AM2,Desktop
AMD Athlon 5350 APU,120.6,2609,21.64,808,6.7,25,104,"AM1,FS1B",Desktop
AMD Athlon 5370 APU,63.7,2914,45.76,873,13.72,25,116,"AM1,FS1B",Desktop
AMD Athlon 64 2000+,0,116,0,130,0,8,14,NA,Unknown
AMD Athlon 64 2200+,0,575,0,0,0,0,0,NA,Unknown
AMD Athlon 64 2600+,0,374,0,448,0,15,24,NA,Unknown
AMD Athlon 64 2800+,99.99,438,4.38,511,5.12,89,4,754,Unknown
AMD Athlon 64 3000+,50.0,464,9.29,550,11.01,89,5,Socket 754,Desktop
AMD Athlon 64 3200+,149.95,492,3.29,578,3.85,62,7,AM2,Unknown
AMD Athlon 64 3300+,0,576,0,734,0,0,0,NA,Unknown
AMD Athlon 64 3400+,0,545,0,653,0,89,6,754,Unknown
AMD Athlon 64 3500+,108.9,541,4.97,621,5.7,45,12,AM2,Unknown
AMD Athlon 64 3600+,0,601,0,0,0,0,0,Socket 754,Desktop
AMD Athlon 64 3700+,69.0,598,8.67,655,9.51,89,6,939,Unknown
AMD Athlon 64 3800+,179.95,589,3.28,672,3.74,45,13,AM2,Unknown
AMD Athlon 64 4000+,183.27,608,3.32,677,3.7,62,9,AM2,Unknown
AMD Athlon 64 FX-25,0,794,0,0,0,95,8,AM2+,Unknown
AMD Athlon 64 FX-34,0,380,0,0,0,0,0,NA,Unknown
AMD Athlon 64 FX-51,0,437,0,0,0,89,4,940,Desktop
AMD Athlon 64 FX-53,29.99,646,21.57,0,0,89,7,940,Desktop
AMD Athlon 64 FX-55,179.95,721,4.01,767,4.26,104,6,939,Desktop
AMD Athlon 64 FX-57,0,730,0,831,0,104,7,939,Desktop
AMD Athlon 64 FX-59,0,715,0,884,0,0,0,939,Desktop
AMD Athlon 64 FX-60 Dual Core,0,1282,0,794,0,110,11,939,Desktop
AMD Athlon 64 FX-62 Dual Core,0,1573,0,862,0,125,12,AM2,Desktop
AMD Athlon 64 FX-72,0,1794,0,0,0,125,14,F (1207),Desktop
AMD Athlon 64 FX-74,499.5,1495,2.99,949,1.9,125,11,F (1207),Desktop
AMD Athlon 64 X2 3800+,0,958,0,646,0,89,10,939,Desktop
AMD Athlon 64 X2 4200+,308.95,1285,4.16,0,0,89,14,939,Desktop
AMD Athlon 64 X2 Dual Core 3400+,0,994,0,532,0,89,11,754,Desktop
AMD Athlon 64 X2 Dual Core 3600+,60.0,962,16.03,591,9.86,65,14,AM2,Desktop
AMD Athlon 64 X2 Dual Core 3800+,0,999,0,609,0,89,11,AM2,Desktop
AMD Athlon 64 X2 Dual Core 4000+,0,1045,0,630,0,65,16,AM2,Desktop
AMD Athlon 64 X2 Dual Core 4200+,199.9,1098,5.49,667,3.34,89,12,AM2,Desktop
AMD Athlon 64 X2 Dual Core 4400+,60.0,1145,19.09,690,11.52,65,17,AM2,Desktop
AMD Athlon 64 X2 Dual Core 4600+,359.9,1218,3.39,725,2.02,65,18,AM2,Desktop
AMD Athlon 64 X2 Dual Core 4800+,459.95,1253,2.73,746,1.62,65,19,AM2,Desktop
AMD Athlon 64 X2 Dual Core 5000+,331.49,1313,3.96,782,2.36,65,20,AM2,Desktop
AMD Athlon 64 X2 Dual Core 5200+,139.9,1381,9.87,809,5.78,65,21,AM2,Desktop
AMD Athlon 64 X2 Dual Core 5400+,52.99,1450,27.37,846,15.97,65,22,AM2,Desktop
AMD Athlon 64 X2 Dual Core 5600+,149.9,1485,9.9,849,5.67,89,16,AM2,Desktop
AMD Athlon 64 X2 Dual Core 5800+,24.99,1516,60.68,884,35.4,89,17,NA,Desktop
AMD Athlon 64 X2 Dual Core 6000+,45.9,1603,34.89,899,19.57,89,18,AM2,Desktop
AMD Athlon 64 X2 Dual Core 6400+,259.9,1787,6.87,970,3.73,125,14,AM2,Desktop
AMD Athlon 64 X2 Dual Core BE-230,0,1095,0,0,0,45,24,NA,Unknown
AMD Athlon 64 X2 Dual Core BE-2300,0,1082,0,585,0,45,24,AM2,Desktop
AMD Athlon 64 X2 Dual Core BE-2350,0,1044,0,631,0,45,23,AM2,Desktop
AMD Athlon 64 X2 Dual Core TK-53,29.97,839,28.02,480,16.03,31,27,NA,Unknown
AMD Athlon 64 X2 Dual Core TK-55,57.74,839,14.53,553,9.59,31,27,NA,Unknown
AMD Athlon 64 X2 Dual Core TK-57,0,971,0,0,0,31,31,NA,Unknown
AMD Athlon 64 X2 Dual-Core TK-42,0,877,0,470,0,20,43,NA,Unknown
AMD Athlon 64 X2 Dual-Core TK-53,0,819,0,515,0,31,26,NA,Unknown
AMD Athlon 64 X2 Dual-Core TK-55,72.74,874,12.02,535,7.36,35,24,NA,Unknown
AMD Athlon 64 X2 Dual-Core TK-57,0,924,0,563,0,31,29,NA,Unknown
AMD Athlon 64 X2 QL-60,0,925,0,538,0,35,26,S1,Laptop
AMD Athlon 64 X2 QL-62,0,1003,0,569,0,35,28,S1,Laptop
AMD Athlon 64 X2 QL-64,0,990,0,583,0,35,28,S1,Laptop
AMD Athlon 64 X2 QL-65,0,1050,0,586,0,35,30,S1,Laptop
AMD Athlon 64 X2 QL-66,0,947,0,553,0,35,27,S1,Laptop
AMD Athlon 64 X2 QL-67,0,1006,0,469,0,35,28,S1,Laptop
AMD Athlon 64 X2 TK-55,0,955,0,0,0,31,30,NA,Unknown
AMD Athlon 64 X2 TK-57,0,988,0,0,0,31,31,NA,Unknown
AMD Athlon 7450 Dual-Core,0,1449,0,808,0,95,15,AM2+,Desktop
AMD Athlon 7550 Dual-Core,60.0,1472,24.54,846,14.1,95,15,AM2+,Desktop
AMD Athlon 7750 Dual-Core,152.9,1570,10.26,898,5.87,95,16,AM2+,Desktop
AMD Athlon 7850 Dual-Core,209.65,1710,8.16,955,4.56,95,18,AM2+,Desktop
AMD Athlon 7850 Dual-Core 2.8G,0,288,0,0,0,95,3,AM2+,Desktop
AMD Athlon Dual Core 4050e,0,1086,0,640,0,45,24,AM2,Desktop
AMD Athlon Dual Core 4450B,31.0,1168,37.69,689,22.25,45,25,AM2+,Desktop
AMD Athlon Dual Core 4450e,0,1110,0,670,0,45,24,AM2,Desktop
AMD Athlon Dual Core 4850B,0,1391,0,767,0,45,30,AM2+,Desktop
AMD Athlon Dual Core 4850e,39.0,1315,33.73,753,19.32,45,29,AM2,Desktop
AMD Athlon Dual Core 5000B,95.0,1308,13.77,782,8.24,65,20,AM2,Desktop
AMD Athlon Dual Core 5050e,60.0,1343,22.39,784,13.07,45,29,AM2,Desktop
AMD Athlon Dual Core 5200B,0,1316,0,818,0,65,20,AM2,Desktop
AMD Athlon Dual Core 5400B,0,1420,0,842,0,65,21,AM2,Desktop
AMD Athlon Dual Core 5600B,0,1304,0,895,0,65,20,AM2+,Desktop
AMD Athlon II 160u,29.99,563,18.78,570,19.03,20,28,NA,Desktop
AMD Athlon II 170u,29.95,626,20.91,633,21.16,20,31,"AM2+,AM3",Desktop
AMD Athlon II Dual-Core M300,0,1112,0,640,0,35,31,NA,Unknown
AMD Athlon II Dual-Core M320,30.0,1141,38.05,673,22.44,35,32,NA,Unknown
AMD Athlon II Dual-Core M340,0,1056,0,679,0,35,30,NA,Unknown
AMD Athlon II N330 Dual-Core,0,1154,0,712,0,35,32,NA,Unknown
AMD Athlon II N350 Dual-Core,0,1249,0,749,0,35,35,NA,Unknown
AMD Athlon II N370 Dual-Core,0,1559,0,800,0,35,44,S1g4,Unknown
AMD Athlon II Neo K125,0,473,0,498,0,12,39,S1,Laptop
AMD Athlon II Neo K145,0,525,0,560,0,12,43,S1,Laptop
AMD Athlon II Neo K325 Dual-Core,25.99,775,29.84,430,16.57,12,64,NA,Laptop
AMD Athlon II Neo K345 Dual-Core,0,856,0,472,0,12,71,NA,Laptop
AMD Athlon II Neo N36L Dual-Core,0,795,0,429,0,12,66,NA,Laptop
AMD Athlon II P320 Dual-Core,29.95,1217,40.64,679,22.67,25,48,NA,Unknown
AMD Athlon II P340 Dual-Core,44.95,1250,27.82,706,15.73,25,50,S1g4,Unknown
AMD Athlon II P360 Dual-Core,24.0,1319,55.0,753,31.41,25,52,S1g4,Unknown
AMD Athlon II X2 210e,0,1486,0,904,0,45,33,AM3,Desktop
AMD Athlon II X2 215,11.99,1566,130.68,905,75.56,65,24,AM3,Desktop
AMD Athlon II X2 220,32.1,1634,50.77,933,29.01,65,25,AM3,Desktop
AMD Athlon II X2 225,0,1526,0,0,0,65,23,AM2+/AM3,Unknown
AMD Athlon II X2 235e,181.88,1661,9.13,917,5.04,45,36,AM3,Desktop
AMD Athlon II X2 240,34.9,1643,47.01,939,26.88,65,25,AM3,Desktop
AMD Athlon II X2 240e,34.95,1700,48.64,957,27.39,45,37,AM3,Desktop
AMD Athlon II X2 245,34.95,1662,47.55,953,27.27,65,25,AM2+/AM3,Desktop
AMD Athlon II X2 245e,80.0,1709,21.37,951,11.89,45,37,AM3,Desktop
AMD Athlon II X2 250,38.9,1741,44.71,1005,25.81,65,26,AM3,Desktop
AMD Athlon II X2 250e,76.73,1939,25.28,1056,13.77,45,43,AM3,Desktop
AMD Athlon II X2 250u,34.95,1004,28.74,553,15.85,25,40,AM3,Desktop
AMD Athlon II X2 255,65.22,1841,28.24,1045,16.03,65,28,AM3,Desktop
AMD Athlon II X2 260,19.99,1876,93.87,1074,53.76,65,28,AM3,Desktop
AMD Athlon II X2 260u,83.44,1107,13.28,610,7.31,25,44,AM3,Desktop
AMD Athlon II X2 265,82.88,1892,22.84,1116,13.47,65,29,AM3,Desktop
AMD Athlon II X2 270,23.99,1975,82.35,1152,48.02,65,30,AM3,Desktop
AMD Athlon II X2 270u,67.67,1285,18.99,698,10.32,25,51,AM3,Desktop
AMD Athlon II X2 280,99.99,2129,21.3,1211,12.12,65,32,AM3,Unknown
AMD Athlon II X2 4300e,0,1483,0,902,0,13,114,NA,Unknown
AMD Athlon II X2 4400e,0,1632,0,921,0,37,44,NA,Unknown
AMD Athlon II X2 4450e,0,1504,0,934,0,45,33,AM2,Desktop
AMD Athlon II X2 B22,41.69,1714,41.13,968,23.22,65,26,AM3,Desktop
AMD Athlon II X2 B24,39.9,1780,44.57,1022,25.59,65,27,AM3,Desktop
AMD Athlon II X2 B26,44.9,1906,42.42,1102,24.53,65,29,NA,Unknown
AMD Athlon II X2 B28,49.05,2085,42.52,1170,23.87,65,32,AM3,Desktop
AMD Athlon II X3 400e,107.43,2009,18.7,754,7.02,45,44,AM3,Desktop
AMD Athlon II X3 405e,79.99,2000,25.0,792,9.91,45,44,AM3,Desktop
AMD Athlon II X3 415e,75.0,2247,29.97,853,11.39,45,49,AM3,Desktop
AMD Athlon II X3 420e,116.15,2285,19.68,824,7.1,45,50,AM3,Desktop
AMD Athlon II X3 425,26.99,2314,85.74,923,34.2,95,24,AM3,Desktop
AMD Athlon II X3 425e,0,2239,0,0,0,45,49,AM3,Desktop
AMD Athlon II X3 435,29.99,2470,82.38,1003,33.45,95,26,AM3,Desktop
AMD Athlon II X3 440,26.99,2567,95.12,1016,37.65,95,27,AM3,Desktop
AMD Athlon II X3 445,91.0,2574,28.29,1049,11.53,95,27,AM3,Desktop
AMD Athlon II X3 450,38.0,2620,68.95,1059,27.88,95,27,AM3,Desktop
AMD Athlon II X3 455,38.99,2765,70.92,1130,29.0,95,29,AM3,Desktop
AMD Athlon II X3 460,38.99,2864,73.46,1169,29.98,95,30,AM3,Desktop
AMD Athlon II X4 553,0,3814,0,1010,0,0,0,NA,Unknown
AMD Athlon II X4 555,0,3830,0,1064,0,0,0,NA,Unknown
AMD Athlon II X4 559,0,4125,0,1163,0,0,0,NA,Unknown
AMD Athlon II X4 600e,130.23,2465,18.93,726,5.58,45,54,AM3,Desktop
AMD Athlon II X4 605e,101.8,2716,26.69,812,7.99,45,60,AM3,Desktop
AMD Athlon II X4 610e,69.99,2793,39.92,833,11.91,45,62,AM3,Desktop
AMD Athlon II X4 615e,59.0,2899,49.15,867,14.71,45,64,AM3,Desktop
AMD Athlon II X4 620,59.9,2928,48.86,905,15.1,95,30,AM3,Desktop
AMD Athlon II X4 620e,0,2906,0,0,0,45,64,AM3,Desktop
AMD Athlon II X4 630,62.9,3131,49.75,956,15.2,95,32,AM3,Desktop
AMD Athlon II X4 631 Quad-Core,80.0,3149,39.36,903,11.3,100,31,FM1,Desktop
AMD Athlon II X4 635,69.95,3234,46.23,988,14.14,95,34,AM3,Desktop
AMD Athlon II X4 638 Quad-Core,26.49,3198,120.73,923,34.87,65,49,FM1,Desktop
AMD Athlon II X4 640,79.9,3314,41.46,1025,12.82,95,34,AM3,Desktop
AMD Athlon II X4 6400e,0,2594,0,0,0,0,0,NA,Unknown
AMD Athlon II X4 641 Quad-Core,91.5,3343,36.54,974,10.65,100,33,FM1,Desktop
AMD Athlon II X4 645,49.99,3466,69.34,1070,21.42,95,36,AM3,Desktop
AMD Athlon II X4 650,166.6,3482,20.9,1063,6.38,95,36,NA,Unknown
AMD Athlon II X4 651 Quad-Core,178.04,3575,20.08,1053,5.92,100,35,FM1,Unknown
AMD Athlon II X4 655,0,2998,0,1128,0,95,31,AM2+ (940-pin),Unknown
AMD Athlon L110,0,303,0,343,0,13,23,NA,Unknown
AMD Athlon LE-1600,21.0,557,26.57,631,30.06,45,12,AM2,Desktop
AMD Athlon LE-1620,18.0,578,32.12,678,37.7,45,12,AM2,Desktop
AMD Athlon LE-1640,0,626,0,716,0,45,13,AM2,Desktop
AMD Athlon LE-1660,0,679,0,748,0,45,15,AM2,Desktop
AMD Athlon MP,12.4,230,18.46,0,0,0,0,NA,Unknown
