cpuFamily;cpuModel;ramSize;ramType;gpuModel;hdd1Type;hdd1Size;hdd2Type;hdd2Size;price
Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;836.09
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;837.99
Core i7;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;HDD;1000 GB;839.0
Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;839.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;839.0
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;839.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;128 GB;-;-;840.0
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;843.57
Core i5;1035G1;8 GB;DDR4;GeForce MX230;SSD;256 GB;-;-;845.0
Core i7;7500U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;845.0
Core i5;8265U;8 GB;DDR4;GeForce MX130;SSD;256 GB;-;-;846.75
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;849.0
Core i7;9750H;8 GB;DDR4;GeForce GTX 1050;SSD;256 GB;-;-;849.0
Core i7;9750H;8 GB;DDR4;GeForce GTX 1050;SSD;512 GB;-;-;849.0
Core i7;8550U;8 GB;DDR4;GeForce 940MX;SSD;128 GB;HDD;1000 GB;849.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;849.0
Core i7;8550U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;849.0
Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;849.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;849.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;849.0
Core i7;8550U;12 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;849.0
Core i7;9750H;8 GB;DDR4;GeForce GTX 1050;SSD;512 GB;-;-;849.0
Core i5;9300H;8 GB;DDR4;GeForce GTX 1550;SSD;512 GB;-;-;849.0
Core i5;8250U;8 GB;DDR3;GeForce MX150;SSD;256 GB;-;-;849.0
Core i7;8550U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;849.0
Core i5;8265U;8 GB;DDR4;GeForce MX130;SSD;256 GB;-;-;849.0
Core i5;8250U;8 GB;DDR4;GeForce 930MX;SSD;256 GB;-;-;849.0
Core i5;9300H;8 GB;DDR4;GeForce GTX 1050;SSD;128 GB;HDD;1000 GB;849.0
Core i7;1065G7;8 GB;DDR4;GeForce MX230;SSD;512 GB;-;-;849.0
Core i5;8300H;8 GB;DDR4;GeForce GTX 1050;SSD;16 GB;HDD;1000 GB;849.99
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;852.02
Core i5;8265U;8 GB;DDR4;GeForce MX250;SSD;256 GB;HDD;1000 GB;853.87
Core i5;8265U;8 GB;DDR3;UHD Graphics 620;SSD;256 GB;-;-;857.0
Core i7;8750H;8 GB;DDR4;GeForce GTX 1050;SSD;512 GB;-;-;859.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;859.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;859.0
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;860.0
Core i5;8265U;8 GB;-;GeForce MX250;SSD;512 GB;-;-;860.99
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;862.95
Core i7;1065G7;8 GB;DDR4;Iris Plus Graphics;SSD;512 GB;-;-;864.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;864.99
Core i7;1065G7;8 GB;DDR4;Iris Plus Graphics;SSD;512 GB;-;-;865.0
Core i5;8265U;8 GB;DDR4;GeForce MX130;SSD;256 GB;-;-;865.0
Core i5;8265U;8 GB;-;GeForce MX250;SSD;512 GB;-;-;869.99
Core i5;8265U;8 GB;-;UHD Graphics 620;SSD;512 GB;-;-;869.99
Core i5;8250U;8 GB;DDR3;UHD Graphics 620;SSD;256 GB;-;-;870.8
Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;875.9
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;876.79
